"alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0024595,1.75,0.0017207,0.001,0.65596,9.2,-17.012,32.5,290.29,0.0093565,0.0056389,0.11612,-0.03325,-0.11553,32.5,9.2,1.7
0.0021758,1.75,0.0015223,0.001,0.64789,9.2,-17.019,32.6,290.3,0.0096593,0.0064584,0.15154,-0.018846,-0.094845,32.6,9.2,1.7
0.002022,1.75,0.0014146,0.001,0.64072,9.2,-17.026,32.7,290.31,0.0098515,0.0070831,0.1683,-0.0017689,-0.07317,32.7,9.2,1.7
0.0019257,1.75,0.0013472,0.001,0.63708,9.2,-17.029,32.8,290.32,0.0098121,0.007318,0.17164,0.0046848,-0.052943,32.8,9.2,1.7
0.0018316,1.75,0.0012813,0.001,0.63424,9.2,-17.031,32.9,290.33,0.0095518,0.0072093,0.17122,0.0073375,-0.034079,32.9,9.2,1.7
0.0017421,1.75,0.0012186,0.001,0.63204,9.2,-17.034,33,290.33,0.0091035,0.0068175,0.16823,0.0078377,-0.016635,33,9.2,1.7
0.0016592,1.75,0.0011606,0.001,0.63032,9.2,-17.035,33.1,290.33,0.0085367,0.0062525,0.16396,0.0071592,-0.00068423,33.1,9.2,1.7
0.001583,1.75,0.0011073,0.001,0.62892,9.2,-17.037,33.2,290.33,0.0079263,0.0056274,0.15908,0.0060348,0.013795,33.2,9.2,1.7
0.0015132,1.75,0.0010585,0.001,0.62784,9.2,-17.038,33.3,290.32,0.0073253,0.0050176,0.15373,0.0048455,0.026822,33.3,9.2,1.7
0.001449,1.75,0.0010136,0.001,0.62707,9.2,-17.039,33.4,290.32,0.0067623,0.0044607,0.14788,0.0037577,0.038392,33.4,9.2,1.7
0.0013899,1.75,0.00097211,0.001,0.62661,9.2,-17.04,33.5,290.31,0.0062448,0.0039641,0.14148,0.0028393,0.0485,33.5,9.2,1.7
0.0013349,1.75,0.00093347,0.001,0.62644,9.2,-17.04,33.6,290.31,0.0057675,0.00352,0.13446,0.0021058,0.057138,33.6,9.2,1.7
0.0012821,1.75,0.00089654,0.001,0.62656,9.2,-17.041,33.7,290.3,0.0053202,0.0031168,0.1268,0.0015448,0.064299,33.7,9.2,1.7
0.0012301,1.75,0.00086022,0.001,0.62693,9.2,-17.04,33.8,290.29,0.004891,0.0027425,0.11849,0.0011269,0.06997,33.8,9.2,1.7
0.0011779,1.75,0.00082369,0.001,0.62752,9.2,-17.04,33.9,290.29,0.0044703,0.0023891,0.10964,0.00081589,0.074149,33.9,9.2,1.7
0.0011251,1.75,0.00078663,0.001,0.6283,9.2,-17.04,34,290.28,0.0040509,0.0020513,0.1004,0.00057496,0.076843,34,9.2,1.7
0.0010713,1.75,0.00074887,0.001,0.62922,9.2,-17.039,34.1,290.27,0.0036313,0.0017292,0.09094,0.00036488,0.078066,34.1,9.2,1.7
0.001016,1.75,0.0007102,0.001,0.63026,9.2,-17.039,34.2,290.27,0.0032155,0.0014279,0.081503,0.00012552,0.077837,34.2,9.2,1.7
0.00095922,1.75,0.00067047,0.001,0.63135,9.2,-17.038,34.3,290.26,0.002809,0.0011528,0.072327,-0.00022042,0.07617,34.3,9.2,1.7
0.00090099,1.75,0.00062971,0.001,0.63247,9.2,-17.037,34.4,290.25,0.0024201,0.0009094,0.063722,-0.00076758,0.073014,34.4,9.2,1.7
0.00084274,1.75,0.00058887,0.001,0.63359,9.2,-17.036,34.5,290.25,0.0020572,0.00070113,0.055928,-0.0015934,0.068322,34.5,9.2,1.7
0.00078921,1.75,0.0005513,0.001,0.63474,9.2,-17.035,34.6,290.24,0.0017296,0.00052901,0.049547,-0.0031102,0.061706,34.6,9.2,1.7
0.00076194,1.75,0.00053214,0.001,0.63583,9.2,-17.034,34.7,290.24,0.0014772,0.00040194,0.046139,-0.0048406,0.053722,34.7,9.2,1.7
0.00077429,1.75,0.00054076,0.001,0.63658,9.2,-17.034,34.8,290.23,0.0013236,0.00032223,0.046192,-0.0050027,0.046554,34.8,9.2,1.7
0.00080156,1.75,0.0005601,0.001,0.63695,9.2,-17.034,34.9,290.22,0.0012255,0.00027187,0.047299,-0.0030958,0.041956,34.9,9.2,1.7
0.00080891,1.75,0.0005655,0.001,0.63715,9.2,-17.034,35,290.22,0.0011301,0.00023189,0.046148,-5.9118e-05,0.0403,35,9.2,1.7
0.00077735,1.75,0.00054342,0.001,0.6374,9.2,-17.034,35.1,290.21,0.0010097,0.00019188,0.040739,0.0030299,0.040687,35.1,9.2,1.7
0.00071077,1.75,0.00049671,0.001,0.63785,9.2,-17.034,35.2,290.2,0.00086149,0.00014923,0.029654,0.0043345,0.041034,35.2,9.2,1.7
0.00066428,1.75,0.00046416,0.001,0.6385,9.2,-17.034,35.3,290.2,0.00077307,0.00012929,0.015169,0.0017543,0.03604,35.3,9.2,1.7
4.2467e-05,1.75,0.00045974,0.01,0.63886,9.2,-17.034,35.4,290.2,0.00076476,0.00013124,0,0,0,35.4,9.2,1.7
8.7225e-05,1.75,0.00062751,0.01,0.66532,9.3,-17.007,31.9,290.2,0.0031413,0.0014174,0,0,0,31.9,9.3,1.7
