"cellID","alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Cell Type"
20081,0.0022811,1.75,0.0015929,0.001,0.66569,9.25,-17.007,32.05,290.2,0.00485,0.001329,-0.0093143,0.015674,-0.088013,12
20082,0.0033425,1.75,0.0023369,0.001,0.66551,9.25,-17.007,32.15,290.2,0.0066945,0.001726,0.0077925,-0.01444,-0.13422,12
20083,0.0037238,1.75,0.0026044,0.001,0.6644,9.25,-17.007,32.25,290.23,0.0076166,0.0020047,0.032481,-0.036041,-0.15216,12
20084,0.0038743,1.75,0.00271,0.001,0.66217,9.25,-17.007,32.35,290.25,0.0082066,0.0022366,0.063998,-0.046766,-0.15323,12
20085,0.0036764,1.75,0.0025717,0.001,0.65756,9.25,-17.011,32.45,290.28,0.0084652,0.0025078,0.09786,-0.052088,-0.1419,12
20086,0.0028853,1.75,0.0020183,0.001,0.65157,9.25,-17.015,32.55,290.3,0.008067,0.0029019,0.14057,-0.047664,-0.1187,12
20087,0.0023766,1.75,0.0016624,0.001,0.64076,9.25,-17.026,32.65,290.31,0.0075167,0.0030589,0.17213,-0.0091555,-0.094973,12
20088,0.0021297,1.75,0.0014895,0.001,0.63761,9.25,-17.028,32.75,290.32,0.0069304,0.0029022,0.18024,0.0038028,-0.073767,12
20089,0.0019273,1.75,0.0013478,0.001,0.63479,9.25,-17.031,32.85,290.33,0.0064614,0.0027878,0.18617,0.0096065,-0.053716,12
20090,0.0017627,1.75,0.0012326,0.001,0.63255,9.25,-17.033,32.95,290.33,0.0060242,0.0026499,0.1885,0.011718,-0.034658,12
20091,0.0016344,1.75,0.0011428,0.001,0.63081,9.25,-17.035,33.05,290.33,0.0055838,0.0024555,0.18859,0.011476,-0.016856,12
20092,0.0015328,1.75,0.0010717,0.001,0.62934,9.25,-17.036,33.15,290.33,0.0051467,0.0022245,0.18741,0.010141,-0.00034707,12
20093,0.0014496,1.75,0.0010134,0.001,0.62812,9.25,-17.038,33.25,290.33,0.004731,0.0019877,0.18523,0.0084483,0.014906,12
20094,0.0013791,1.75,0.00096399,0.001,0.6272,9.25,-17.039,33.35,290.32,0.0043469,0.0017641,0.18206,0.0067389,0.028857,12
20095,0.0013171,1.75,0.00092064,0.001,0.62657,9.25,-17.039,33.45,290.32,0.0040011,0.001565,0.17792,0.0051822,0.041466,12
20096,0.0012623,1.75,0.00088217,0.001,0.62625,9.25,-17.04,33.55,290.31,0.00369,0.0013891,0.17278,0.0038531,0.052678,12
20097,0.0012125,1.75,0.0008473,0.001,0.62621,9.25,-17.041,33.65,290.31,0.0034106,0.0012355,0.16663,0.0027801,0.062452,12
20098,0.0011662,1.75,0.00081486,0.001,0.62645,9.25,-17.041,33.75,290.3,0.0031572,0.0011009,0.15948,0.001955,0.070719,12
20099,0.0011224,1.75,0.00078417,0.001,0.62693,9.25,-17.04,33.85,290.29,0.002923,0.00098063,0.15137,0.0013326,0.077414,12
20100,0.0010804,1.75,0.00075485,0.001,0.62761,9.25,-17.04,33.95,290.29,0.0027005,0.00086947,0.14246,0.00086434,0.082499,12
20101,0.0010412,1.75,0.00072723,0.001,0.62847,9.25,-17.04,34.05,290.28,0.0024814,0.00076201,0.13295,0.00050991,0.085944,12
20102,0.0010033,1.75,0.00070062,0.001,0.62947,9.25,-17.039,34.15,290.27,0.0022648,0.00065889,0.12303,0.00022635,0.087739,12
20103,0.00096627,1.75,0.00067466,0.001,0.63057,9.25,-17.038,34.25,290.27,0.0020498,0.0005605,0.11294,-5.0532e-05,0.087852,12
20104,0.00092934,1.75,0.00064872,0.001,0.63173,9.25,-17.037,34.35,290.26,0.0018399,0.00046964,0.10279,-0.00036675,0.086246,12
20105,0.00089163,1.75,0.00062245,0.001,0.63292,9.25,-17.036,34.45,290.26,0.001639,0.00038843,0.0928,-0.00082726,0.082757,12
20106,0.00085598,1.75,0.00059734,0.001,0.63412,9.25,-17.035,34.55,290.25,0.0014475,0.0003157,0.082896,-0.0013723,0.077199,12
20107,0.00083435,1.75,0.000582,0.001,0.63551,9.25,-17.035,34.65,290.24,0.0012742,0.00025108,0.073786,-0.0030031,0.068272,12
20108,0.00088518,1.75,0.00061733,0.001,0.63666,9.25,-17.034,34.75,290.23,0.0011944,0.00020799,0.068377,-0.0041286,0.057937,12
