34.7 	9.5 	1.7 	290.118
34.8 	9.5 	1.7 	290.112
34.9 	9.5 	1.7 	290.113
35 	9.5 	1.7 	290.113
35.1 	9.5 	1.7 	290.124
35.2 	9.5 	1.7 	290.141
35.3 	9.5 	1.7 	290.159
31.9 	9.6 	1.7 	290.128
32 	9.6 	1.7 	290.128
32.1 	9.6 	1.7 	290.092
32.2 	9.6 	1.7 	290.101
32.3 	9.6 	1.7 	290.144
32.4 	9.6 	1.7 	290.254
32.5 	9.6 	1.7 	290.254
32.6 	9.6 	1.7 	290.299
34.6 	9.6 	1.7 	290.071
34.7 	9.6 	1.7 	290.071
34.8 	9.6 	1.7 	290.062
34.9 	9.6 	1.7 	290.049
35 	9.6 	1.7 	290.049
35.1 	9.6 	1.7 	290.058
35.2 	9.6 	1.7 	290.083
35.3 	9.6 	1.7 	290.116
31.9 	9.7 	1.7 	290.128
32 	9.7 	1.7 	290.128
32.1 	9.7 	1.7 	290.092
32.2 	9.7 	1.7 	290.101
32.3 	9.7 	1.7 	290.144
32.4 	9.7 	1.7 	290.254
32.5 	9.7 	1.7 	290.254
32.6 	9.7 	1.7 	290.299
34.6 	9.7 	1.7 	290.071
34.7 	9.7 	1.7 	290.071
34.8 	9.7 	1.7 	290.062
34.9 	9.7 	1.7 	290.049
35 	9.7 	1.7 	290.049
35.1 	9.7 	1.7 	290.058
35.2 	9.7 	1.7 	290.083
35.3 	9.7 	1.7 	290.116
31.9 	9.8 	1.7 	290.102
32 	9.8 	1.7 	290.102
32.1 	9.8 	1.7 	290.059
32.2 	9.8 	1.7 	290.067
32.3 	9.8 	1.7 	290.114
32.4 	9.8 	1.7 	290.231
32.5 	9.8 	1.7 	290.231
32.6 	9.8 	1.7 	290.28
34.6 	9.8 	1.7 	290.066
34.7 	9.8 	1.7 	290.066
34.8 	9.8 	1.7 	290.051
34.9 	9.8 	1.7 	290.026
35 	9.8 	1.7 	290.026
35.1 	9.8 	1.7 	290.029
35.2 	9.8 	1.7 	290.054
35.3 	9.8 	1.7 	290.094
31.9 	9.9 	1.7 	290.075
32 	9.9 	1.7 	290.075
32.1 	9.9 	1.7 	290.024
32.2 	9.9 	1.7 	290.03
32.3 	9.9 	1.7 	290.077
32.4 	9.9 	1.7 	290.198
32.5 	9.9 	1.7 	290.198
32.6 	9.9 	1.7 	290.252
34.6 	9.9 	1.7 	290.06
34.7 	9.9 	1.7 	290.06
34.8 	9.9 	1.7 	290.041
34.9 	9.9 	1.7 	290.005
35 	9.9 	1.7 	290.005
35.1 	9.9 	1.7 	290.002
35.2 	9.9 	1.7 	290.024
35.3 	9.9 	1.7 	290.071
31.9 	10 	1.7 	290.048
32 	10 	1.7 	290.048
32.1 	10 	1.7 	289.987
